feature,mean_FP,mean_TN,std_FP,std_TN,mean_difference,cohen_d,abs_cohen_d
st_V3_j_point_amplitude_max,0.054999999999999966,0.11633032490974728,0.05184713106817003,0.12427000598398255,-0.06133032490974731,-0.4986445569609905,0.4986445569609905
st_V3_st_slope_j20_j80_std,0.0001799196386232467,0.0003342482892257819,6.876458621577085e-05,0.00031617715945061613,-0.0001543286506025352,-0.49396297294322955,0.49396297294322955
st_V3_st_j60_min,0.04256250000000003,0.10377075812274367,0.057345137925982864,0.1252939387774648,-0.061208258122743636,-0.49336465464812257,0.49336465464812257
st_V3_high_takeoff_gt_2mm_mean,0.0,0.16593316666580626,0.0,0.34392010202298995,-0.16593316666580626,-0.48855596159688847,0.48855596159688847
morph_V3_high_takeoff_gt_2mm_mean,0.0,0.16593316666580626,0.0,0.34392010202298995,-0.16593316666580626,-0.48855596159688847,0.48855596159688847
morph_V3_t_mean_mean,-0.028889530450609997,-0.012464893676480977,0.0374163178088736,0.03355457191431993,-0.01642463677412902,-0.48802327811615176,0.48802327811615176
st_V2_st_area_above_baseline_max,1.5502500000000001,2.360899819494585,1.0850717142198483,1.6866161268953814,-0.8106498194945848,-0.4841591700702009,0.4841591700702009
st_V3_st_slope_j20_j80_max,0.0013624999999999625,0.0021148014440432812,0.0006894920634463664,0.0015701377205768643,-0.0007523014440433187,-0.4839866797734868,0.4839866797734868
st_V2_st_j20_max,0.14162499999999995,0.21891155234657036,0.1259580163189307,0.16396053261817303,-0.07728655234657042,-0.47378044250404233,0.47378044250404233
st_V2_j_point_amplitude_max,0.15174999999999997,0.2327292418772563,0.1531967688954307,0.1739110492287065,-0.08097924187725633,-0.4669315001677006,0.4669315001677006
st_V3_st_j40_std,0.01410522828121525,0.020589093478716996,0.006661530435469698,0.014022096879526045,-0.006483865197501746,-0.46689610499617784,0.46689610499617784
st_V3_st_j20_mean,0.044134374999999976,0.09706620210927869,0.04915822956472761,0.11566362052008707,-0.05293182710927871,-0.4623450759352756,0.4623450759352756
st_V3_high_takeoff_gt_1mm_max,0.25,0.48014440433212996,0.4330127018922193,0.499605599769132,-0.23014440433212996,-0.4620762772312524,0.4620762772312524
morph_V3_high_takeoff_gt_1mm_max,0.25,0.48014440433212996,0.4330127018922193,0.499605599769132,-0.23014440433212996,-0.4620762772312524,0.4620762772312524
sq_III_max,0.460375,0.678202166064982,0.2314686466349168,0.47842238742509946,-0.21782716606498198,-0.4596781726914726,0.4596781726914726
cl_max_st_j40_v1v3,0.13193749999999999,0.18553971119133572,0.09388596390701866,0.11757287759413293,-0.053602211191335736,-0.4579631405368995,0.4579631405368995
sq_aVF_std,0.11554553018147422,0.14437515795237968,0.03783451347799711,0.06356226235690939,-0.02882962777090546,-0.45723113347854644,0.45723113347854644
st_V2_st_curvature_sign_min,0.5,0.04693140794223827,0.8660254037844386,0.9952774619883948,0.45306859205776173,0.4565918813484333,0.4565918813484333
st_V2_st_j80_max,0.1394375,0.22086101083032492,0.0941247302452974,0.18068289931366882,-0.08142351083032492,-0.45475972884281646,0.45475972884281646
sq_III_min,-0.23549999999999996,-0.3659205776173285,0.15309719135242164,0.2925887581875232,0.13042057761732853,0.4498052359914928,0.4498052359914928
cl_mean_st_j40_v1v3,0.08656249999999996,0.123209687123947,0.06843059325879035,0.08196800406105845,-0.036647187123947045,-0.44877644062171335,0.44877644062171335
st_V2_st_area_above_baseline_mean,1.321107318722944,1.875743369312749,1.0681097152020316,1.2451979565837012,-0.5546360505898049,-0.44688260528315055,0.44688260528315055
sq_aVF_rms,0.11899849767810751,0.14791262022372326,0.03965193417333844,0.06539733793234122,-0.028914122545615747,-0.44562889732212185,0.44562889732212185
st_V3_st_j20_median,0.046749999999999986,0.09776173285198556,0.05048530107863079,0.11721563484395273,-0.05101173285198557,-0.43964683929646925,0.43964683929646925
morph_V3_high_takeoff_gt_2mm_median,0.0,0.15703971119133575,0.0,0.3625957986856237,-0.15703971119133575,-0.4385563431541563,0.4385563431541563
st_V3_high_takeoff_gt_2mm_median,0.0,0.15703971119133575,0.0,0.3625957986856237,-0.15703971119133575,-0.4385563431541563,0.4385563431541563
st_V3_st_j40_min,0.02850000000000001,0.07962093862815885,0.050639041262646345,0.11790164778637967,-0.051120938628158835,-0.4380301813140817,0.4380301813140817
morph_V3_t_peak_value_mean,-0.052811755952380926,-0.026680612632424307,0.06243504638767559,0.06002986506555817,-0.02613114331995662,-0.43486300390522653,0.43486300390522653
morph_V3_t_amplitude_std,0.00908408857249635,0.014319471037500555,0.004188557114827524,0.01242060003662418,-0.0052353824650042055,-0.4262055577388462,0.4262055577388462
st_V2_st_area_above_baseline_median,1.33990625,1.8720460288808662,1.1022014047003559,1.252146843889337,-0.5321397788808662,-0.42617033151038647,0.42617033151038647
sq_aVF_range,0.9367500000000001,1.1752129963898916,0.2770359859296261,0.5673312991612477,-0.23846299638989155,-0.4243396858811209,0.4243396858811209
