feature,native_importance_mean,native_importance_std
sq_V5_max,0.11003099584753269,0.20114571557555191
morph_V3_covedness_score_max,0.1098535118839237,0.20955650044008853
morph_V3_t_mean_n_valid,0.1074442747541458,0.15776638850719385
morph_V3_high_takeoff_gt_2mm_max,0.10719613757708335,0.15757133298605658
morph_V1_second_hump_present_min,0.10645816701884407,0.15812674611931987
st_V3_st_j80_min,0.10513716335859317,0.11440123672228295
st_V1_st_j60_median,0.1049480002177509,0.1772988489974362
st_V2_st_j40_n_valid,0.104893907800752,0.14611862713006077
morph_V2_t_amplitude_min,0.10383479482456229,0.23218165965746462
st_V2_j_point_confidence_n_valid,0.1038010616624939,0.16138522727240923
sq_V1_std,0.1034429894544118,0.1666926762364004
sq_III_rms,0.10342699070748514,0.1418570813056622
sq_I_rms,0.10168879861835185,0.22738306626092145
st_V1_high_takeoff_gt_1mm_mean,0.10168433985015579,0.139314907111139
sq_II_min,0.10051326783999712,0.15863785206856448
st_V1_st_j20_std,0.10017094395863155,0.22398904006182205
sq_V3_range,0.09937756314436426,0.22221498662907624
sq_V5_range,0.09885616319103877,0.14357599719618644
st_V1_st_j80_j0_ratio_min,0.09814032843782397,0.19040088179581888
st_V1_st_monotonicity_n_valid,0.09662466739326334,0.09700267784810158
sq_aVF_min,0.09469540354691422,0.14116062504610985
st_V1_st_area_above_baseline_std,0.09418552486365508,0.1203272056199837
st_V3_st_area_above_baseline_min,0.09204053211118943,0.0955322765734347
st_V1_rs_ratio_max,0.0899119792151604,0.13292715544262038
st_V3_st_j20_std,0.08887107930382346,0.12360542854312774
morph_V1_trough_depth_between_humps_median,0.08846885479238945,0.12293939127753212
morph_V1_high_takeoff_gt_1mm_max,0.08836974213929652,0.08735825066394226
sq_II_std,0.08684577967896545,0.15670315755064632
st_V3_st_monotonicity_min,0.08637515939515135,0.19314072797493803
st_V3_st_j60_n_valid,0.0857751656388241,0.19179910114971485
st_V2_st_area_above_baseline_min,0.08510087398204362,0.19029133916849275
sq_V3_snr_proxy,0.08488778195241856,0.16329446393147576
st_V1_st_j20_min,0.0843360104166219,0.13113213793725592
morph_V3_second_hump_amplitude_n_valid,0.08174627571804612,0.16626290954333006
morph_V3_t_inversion_indicator_median,0.08147349061078363,0.18218026336990306
sq_III_baseline_drift,0.08048652423218097,0.11031026463755006
st_V3_r_amplitude_min,0.07851630223839148,0.14521536300488283
rr_mean_ms,0.07835447701636893,0.1163658305883375
st_V1_r_amplitude_median,0.07801908841080256,0.12362548082984877
st_V2_r_amplitude_n_valid,0.0776960164681118,0.17373357440364112
sq_V2_baseline_drift,0.07676879839878402,0.17166025177065805
morph_V2_trough_depth_between_humps_std,0.076671935255285,0.11853579917757803
morph_V3_trough_depth_between_humps_median,0.0761127712428651,0.1701933304549375
st_V1_st_j40_j0_ratio_mean,0.07591041878388262,0.11155453252874914
st_V2_j_point_amplitude_n_valid,0.0757197566700116,0.11891240934646344
st_V3_st_convexity_mean,0.0756722294254186,0.11082188609210523
sq_II_mean,0.07535729516932815,0.11036256413461434
st_V1_j_point_amplitude_mean,0.07384867784156032,0.10358792285552387
morph_V1_second_hump_amplitude_max,0.07269415952256174,0.1625490822596617
st_V3_st_curvature_sign_min,0.07135127772540226,0.13071528332259968
morph_V1_high_takeoff_gt_1mm_mean,0.07060021655166823,0.1376655601399323
morph_V1_trough_depth_between_humps_max,0.06987622515369812,0.09628233912624538
st_V2_high_takeoff_gt_2mm_min,0.06832544051088126,0.15278032957494844
st_V2_r_amplitude_max,0.06781972859260132,0.07726853209795866
sq_I_range,0.06716777734181706,0.09239565015800341
