feature,mean_abs_shap_brugada,mean_abs_shap_normal,mean_shap_brugada,mean_shap_normal,class_differential
morph_V3_t_mean_std,0.018711962310572764,0.023650567558422046,-0.003215284028556182,-0.001483936495008098,-0.0049386052478492815
morph_V1_covedness_score_n_valid,0.018371832338897012,0.015983488568224864,0.008082149128282536,-0.0033976727484592395,0.0023883437706721487
morph_V3_t_mean_mean,0.018153485172354628,0.020786216663414084,0.008413861760207874,-0.0025527502340508025,-0.0026327314910594563
st_V2_j_point_confidence_max,0.018015124255693238,0.013861904373483286,0.005926125180466386,0.002731679745686947,0.004153219882209952
sq_aVR_noise_energy,0.017741998650966893,0.025433038777447837,0.00020401613370172553,-0.002589523740281521,-0.0076910401264809435
st_V1_st_j80_j0_ratio_min,0.017660987174113896,0.006678678157353156,0.013794160416521335,0.0005970097287438125,0.010982309016760741
st_V3_st_j80_min,0.017527742533895503,0.016889590049805007,-0.001589230443105893,0.0013735648896869561,0.0006381524840904963
st_V2_rs_ratio_std,0.01748369114265138,0.01902836151167955,0.011756197386788868,-0.0023899426714286826,-0.0015446703690281706
sq_V4_baseline_drift,0.017454886989373874,0.01800856398509403,-0.0016987577051316342,-0.0012113014922740055,-0.0005536769957201551
sq_aVL_max,0.017399674529748905,0.016996594724985204,0.008962171120985773,0.003013064645324894,0.00040307980476370076
morph_V1_saddleback_score_std,0.017395652493363917,0.019267202922717365,0.00859449683247427,-0.0020323940614426603,-0.0018715504293534482
sq_aVL_noise_energy,0.017085015198068754,0.019200420249221018,0.003253543029637305,0.004611101592452817,-0.0021154050511522637
sq_V3_noise_energy,0.016903889088548306,0.01711206998870762,-0.0025233975435165865,-0.0011547625397140455,-0.00020818090015931393
st_V2_j_point_confidence_n_valid,0.016860249412098984,0.018385434908733927,-0.0036964613037478037,-0.004158084265342579,-0.0015251854966349433
sq_V3_range,0.016698328048529974,0.010463850575431081,0.0016957572943187816,0.0006675334671960069,0.006234477473098892
morph_V1_trough_depth_between_humps_min,0.016553299197142827,0.014686146308813942,0.004345949879896465,-0.0027422061099148477,0.0018671528883288848
sq_II_snr_proxy,0.01649026273293296,0.012092517808165693,0.004867132691280475,-0.001541280894230338,0.0043977449247672665
st_V2_st_slope_j0_j40_max,0.016301329720177123,0.017918484726667575,0.008026305809617006,0.0038937859669431495,-0.0016171550064904526
morph_V1_second_hump_present_min,0.016124140995640388,0.015280227602592514,0.003582306315105308,-0.0008942906176249524,0.0008439133930478737
morph_V1_high_takeoff_gt_2mm_min,0.015953767191324544,0.014024792174428997,0.00208560932770763,-0.0008237824054233634,0.001928975016895547
st_V1_j_point_confidence_n_valid,0.015750231535517054,0.016509279264039792,-0.0005352619805030241,-0.002989883457183946,-0.0007590477285227375
sq_III_min,0.01564245888179068,0.014669767493505388,-0.0007539181749483422,-0.0006071243446177496,0.0009726913882852923
st_V1_r_amplitude_n_valid,0.015634367502796894,0.016457233998976403,2.978811818665918e-05,-0.004269012800979218,-0.0008228664961795092
st_V3_st_monotonicity_max,0.015574395771530474,0.01648447223656683,0.0005724008324997253,0.0025810020418273057,-0.0009100764650363542
st_V2_st_area_above_baseline_max,0.015423792937378328,0.01819371130635459,0.0015143206318546187,0.0014014440824890871,-0.0027699183689762607
st_V2_j_point_amplitude_n_valid,0.015423372416806042,0.008712293274103538,0.004592822563197261,-0.00137092777660914,0.006711079142702504
st_V2_st_slope_j0_j40_mean,0.015296392168016391,0.014670693875786924,0.00855548850628302,0.0011300870678825781,0.0006256982922294672
morph_V3_second_hump_amplitude_n_valid,0.015287054428389582,0.00944162047348058,-0.0020525856847923873,-0.0022226936174134697,0.005845433954909001
st_V2_j_point_amplitude_std,0.01524169202060681,0.018897095516726383,0.0017134367797131532,0.0016689888725401193,-0.0036554034961195723
sq_V2_min,0.014954027323125806,0.01704589653163109,-0.00027028930287710545,-0.0031996426922155635,-0.0020918692085052856
st_V2_st_j40_n_valid,0.014772087939108072,0.02011165992927961,0.0027256470917429968,-9.273329285664976e-05,-0.005339571990171536
st_V3_st_j60_std,0.014722958936503053,0.007376814487451869,0.008869294642813894,-0.0025794773821423635,0.007346144449051185
st_V1_high_takeoff_gt_2mm_median,0.014706273342629776,0.0066232572773711525,0.009348771872096944,-0.0008793482101337272,0.008083016065258623
st_V3_st_j20_max,0.01469324585491496,0.015499125516905276,0.006949633268247313,0.0005111553758149197,-0.0008058796619903157
morph_V3_t_polarity_n_valid,0.014594390348065627,0.012732116701276051,-0.002263285279347526,0.003967764094270732,0.0018622736467895761
st_V2_st_j60_min,0.014358969048940023,0.00732428682435835,0.0037116451380088153,-0.001689763819597627,0.007034682224581673
st_V2_st_j20_min,0.01402701175404024,0.011893821061046894,0.003706087479612947,-0.0016618432601725498,0.002133190692993347
morph_V1_high_takeoff_gt_2mm_n_valid,0.013975490427723038,0.012829154415919279,0.005964025100693104,-0.0017520486852251476,0.001146336011803759
st_V1_high_takeoff_gt_1mm_max,0.013882807361844317,0.02714102993417491,0.009535267519715568,-0.006719719232530563,-0.013258222572330594
st_V3_st_j20_std,0.0138480018285152,0.017995334647414124,0.006019752296177959,-0.0020183098490126105,-0.0041473328188989245
sq_III_noise_energy,0.01378616438859974,0.018386739658626604,0.003630026637478477,-0.0003546173882894657,-0.0046005752700268646
